m_hidden,sparsity,seed,checkpoint_step,n_eigenspaces,n_eigenvectors,degeneracy_ratio,n_clusters,mean_participation_ratio,mean_max_space_projection
112,0.0,0,25000,32,112,0.2857142857142857,12,11.702934571899904,0.2653055235042052
112,0.0,1,25000,31,112,0.2767857142857143,12,11.39489099243286,0.2689110918131523
112,0.02020408163265306,0,25000,33,112,0.29464285714285715,13,12.964247365297096,0.2578903427782899
112,0.02020408163265306,1,25000,33,112,0.29464285714285715,13,12.509305868394446,0.262685678924268
112,0.04040816326530612,0,25000,33,112,0.29464285714285715,14,13.650871139055841,0.24692997740250716
112,0.04040816326530612,1,25000,35,112,0.3125,15,13.480230323193751,0.2531258982035779
112,0.06061224489795918,0,25000,36,112,0.32142857142857145,16,14.778117371134723,0.2356476225211591
112,0.06061224489795918,1,25000,34,112,0.30357142857142855,17,14.33115174677765,0.24629942090551288
112,0.08081632653061224,0,25000,36,112,0.32142857142857145,18,15.363539412586116,0.2299371020342767
112,0.08081632653061224,1,25000,36,112,0.32142857142857145,18,15.546157021157997,0.23758762427623065
112,0.1010204081632653,0,25000,39,112,0.3482142857142857,18,16.262929837104984,0.22516954293036662
112,0.1010204081632653,1,25000,37,112,0.33035714285714285,21,16.35315073073391,0.23433037093181863
112,0.12122448979591836,0,25000,37,112,0.33035714285714285,20,16.98587996944753,0.21796082315903736
112,0.12122448979591836,1,25000,39,112,0.3482142857142857,23,17.288668648875948,0.22581533564699713
112,0.14142857142857143,0,25000,40,112,0.35714285714285715,23,17.970636604940136,0.21229096900374506
112,0.14142857142857143,1,25000,41,112,0.36607142857142855,26,18.311468433139233,0.2205420303986025
112,0.16163265306122448,0,25000,44,112,0.39285714285714285,25,18.612667216682915,0.21075811527612803
112,0.16163265306122448,1,25000,46,112,0.4107142857142857,27,18.877767482244394,0.2172034388437134
112,0.18183673469387754,0,25000,52,112,0.4642857142857143,21,18.770441160692194,0.20722075942345689
112,0.18183673469387754,1,25000,56,112,0.5,25,19.38624822929399,0.2187838907206509
112,0.2020408163265306,0,25000,66,112,0.5892857142857143,23,19.424653116548328,0.20417425754886948
112,0.2020408163265306,1,25000,69,112,0.6160714285714286,26,20.19969956279218,0.20726478066652132
112,0.22224489795918367,0,25000,78,112,0.6964285714285714,24,21.128570637977333,0.19222120856827807
112,0.22224489795918367,1,25000,73,112,0.6517857142857143,25,20.322322314962847,0.19922442323087405
112,0.24244897959183673,0,25000,84,112,0.75,19,20.96671138782192,0.18760281956573244
112,0.24244897959183673,1,25000,85,112,0.7589285714285714,21,21.013194241622145,0.1949770835701855
112,0.2626530612244898,0,25000,93,112,0.8303571428571429,22,22.839427351495747,0.1804393311873942
112,0.2626530612244898,1,25000,91,112,0.8125,22,22.08041339967897,0.18861245086401063
112,0.28285714285714286,0,25000,96,112,0.8571428571428571,18,23.159974645033618,0.17725573542486425
112,0.28285714285714286,1,25000,99,112,0.8839285714285714,16,23.835430278577945,0.18075641323447691
112,0.3030612244897959,0,25000,105,112,0.9375,17,26.379663774622898,0.16340817810013653
112,0.3030612244897959,1,25000,107,112,0.9553571428571429,17,26.5346624491327,0.166893914780787
112,0.32326530612244897,0,25000,110,112,0.9821428571428571,24,30.064301848632468,0.15001377232069102
112,0.32326530612244897,1,25000,111,112,0.9910714285714286,26,30.449141991169075,0.15090398296361388
112,0.34346938775510205,0,25000,112,112,1.0,27,30.27291439842965,0.14591920879491466
112,0.34346938775510205,1,25000,111,112,0.9910714285714286,29,29.47905197559766,0.1491426201021337
112,0.3636734693877551,0,25000,111,112,0.9910714285714286,22,23.55601920269466,0.1632034320270354
112,0.3636734693877551,1,25000,110,112,0.9821428571428571,18,21.825797884899153,0.17140581244950664
112,0.38387755102040816,0,25000,107,112,0.9553571428571429,15,18.11951968776406,0.18354742215595632
112,0.38387755102040816,1,25000,108,112,0.9642857142857143,14,17.91832946508902,0.18728131108708915
112,0.4040816326530612,0,25000,107,112,0.9553571428571429,13,12.290551757410823,0.22303157231470291
112,0.4040816326530612,1,25000,108,112,0.9642857142857143,17,13.324588651298942,0.20915492914090314
112,0.42428571428571427,0,25000,103,112,0.9196428571428571,14,10.388676262162683,0.22946207834079557
112,0.42428571428571427,1,25000,104,112,0.9285714285714286,16,11.545048801873522,0.20955900169364294
112,0.44448979591836735,0,25000,107,112,0.9553571428571429,18,12.505354566131976,0.2057271466662916
112,0.44448979591836735,1,25000,100,112,0.8928571428571429,16,11.520213184746634,0.21979332165269072
112,0.4646938775510204,0,25000,100,112,0.8928571428571429,16,11.999412836260642,0.21504709520026521
112,0.4646938775510204,1,25000,105,112,0.9375,14,12.155292415629694,0.2175649833454915
112,0.48489795918367345,0,25000,100,112,0.8928571428571429,13,11.374459852398983,0.2501322253224521
112,0.48489795918367345,1,25000,106,112,0.9464285714285714,13,12.26153338764836,0.2339321018201495
112,0.5051020408163265,0,25000,107,112,0.9553571428571429,9,11.740807757537254,0.2596773376820786
112,0.5051020408163265,1,25000,108,112,0.9642857142857143,11,12.188131600159998,0.24825136977715306
112,0.5253061224489796,0,25000,111,112,0.9910714285714286,7,12.481103937744056,0.28364089977913864
112,0.5253061224489796,1,25000,108,112,0.9642857142857143,9,11.960495566977809,0.28579257823284804
112,0.5455102040816326,0,25000,107,112,0.9553571428571429,7,12.458706444939219,0.3139967112514769
112,0.5455102040816326,1,25000,110,112,0.9821428571428571,7,12.450930734408589,0.29662927356351904
112,0.5657142857142857,0,25000,110,112,0.9821428571428571,3,13.161175777215078,0.3162251067243138
112,0.5657142857142857,1,25000,110,112,0.9821428571428571,3,12.354950710688723,0.3448729203872589
