file,m,seed,n,exp_type,mean_sparsity,min_sparsity,max_sparsity,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m256_nonuniform_seed0.h5,256,0,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64815428367,0.998625602670586,0.998625602670586,0.0013743973294140233,0.04470947532697187,0.0013743973294145656,1.4723008678617722,0.2500000000000001,0.01573156986382264,0.0037246025959346172,0.0
n1024_m256_nonuniform_seed1.h5,256,1,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63746930968773,0.9985838644909677,0.9985838644909677,0.0014161355090323013,0.045830713405337974,0.001416135509032731,1.4888471517932456,0.2500000000000001,0.015003640768355761,0.004230493398897778,0.0
n1024_m256_nonuniform_seed10.h5,256,10,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6473475861858,0.9986224515085382,0.9986224515085382,0.0013775484914617664,0.0450137174151076,0.0013775484914621944,1.4823682913854712,0.2500000000000001,0.015505596124360829,0.0041645655513577835,0.0
n1024_m256_nonuniform_seed100.h5,256,100,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6379484594945,0.9985857361699004,0.9985857361699004,0.0014142638300995714,0.04550790351180682,0.0014142638301002318,1.4796345328551412,0.25000000000000017,0.015482112573752524,0.0037154809057281385,0.0
n1024_m256_nonuniform_seed101.h5,256,101,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6506161870493,0.9986352194806614,0.9986352194806614,0.0013647805193386375,0.04522125621744144,0.0013647805193391183,1.488386847882542,0.2500000000000001,0.0143650587045419,0.003942651559593006,0.0
n1024_m256_nonuniform_seed102.h5,256,102,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64094249605841,0.9985974316252282,0.9985974316252282,0.0014025683747718176,0.045527760018128936,0.00140256837477245,1.4881133675331706,0.2500000000000001,0.016132130164318328,0.004004173211977893,0.0
n1024_m256_nonuniform_seed103.h5,256,103,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6395421903435,0.9985919616810293,0.9985919616810293,0.001408038318970739,0.045611030108073415,0.0014080383189711027,1.4935116574995793,0.2500000000000001,0.014660422326606849,0.004413682419148243,0.0
n1024_m256_nonuniform_seed104.h5,256,104,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6384360534721,0.9985876408338754,0.9985876408338754,0.0014123591661245882,0.04566861163814933,0.0014123591661249057,1.4917156578934192,0.25000000000000006,0.015370399515260091,0.0043829702241060834,0.0
n1024_m256_nonuniform_seed105.h5,256,105,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.643869178748,0.9986088639794843,0.9986088639794843,0.0013911360205156598,0.045382919247159634,0.0013911360205161748,1.4823393150817437,0.2500000000000001,0.015004849615658135,0.0038088864199577258,0.0
n1024_m256_nonuniform_seed106.h5,256,106,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63946314921486,0.9985916529266206,0.9985916529266206,0.0014083470733794456,0.04560597965776906,0.0014083470733797763,1.4899383541878577,0.25000000000000006,0.015416631115226245,0.0041701827668921,0.0
n1024_m256_nonuniform_seed107.h5,256,107,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.6409609240509,0.9985975036095738,0.9985975036095738,0.0014024963904262222,0.045514044623901684,0.00140249639042674,1.486889775470337,0.2500000000000001,0.015558753396478619,0.004180831345377708,0.0
n1024_m256_nonuniform_seed108.h5,256,108,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64580906218907,0.9986164416491761,0.9986164416491761,0.0013835583508239324,0.04501886709403317,0.0013835583508243524,1.4852656550488756,0.2500000000000001,0.014912929394025588,0.004032815310167909,0.0
n1024_m256_nonuniform_seed109.h5,256,109,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64070952015754,0.9985965215631154,0.9985965215631154,0.0014034784368845976,0.04566806050732377,0.0014034784368849886,1.4920051651427366,0.2500000000000001,0.014779429678770873,0.004340468960865326,0.0
n1024_m256_nonuniform_seed11.h5,256,11,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64668339503987,0.9986198570118745,0.9986198570118745,0.001380142988125499,0.04515850013670052,0.0013801429881259823,1.4866892806631846,0.2500000000000001,0.015093832676315817,0.003946871005943907,0.0
n1024_m256_nonuniform_seed110.h5,256,110,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63384158472763,0.9985696936903423,0.9985696936903423,0.0014303063096576807,0.04577394461685068,0.0014303063096579775,1.4797211590263484,0.25000000000000006,0.015957377809454637,0.0037344662425176246,1.4260451116656356e-06
n1024_m256_nonuniform_seed111.h5,256,111,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.64526902225043,0.9986143321181657,0.9986143321181657,0.0013856678818342516,0.04526147107254357,0.0013856678818345424,1.4908170129364875,0.25000000000000006,0.01569557181374768,0.004156992816810142,0.0
n1024_m256_nonuniform_seed112.h5,256,112,1024,linear_nonuniform,0.49951171875,0.0,0.9990234375,256,1.0,255.63792046671733,0.9985856268231146,0.9985856268231146,0.0014143731768854195,0.04549462979374108,0.0014143731768857853,1.4814114302526007,0.2500000000000001,0.016504554235260524,0.003829292005065984,0.0
