file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m112_s0.121224_seed1.h5,112,0.12122448979591836,1,1024,112,1.0,111.99264943793241,0.9999343699815394,0.9999343699815394,6.563001846060512e-05,0.007754992343432437,6.563001846184889e-05,1.0024999487006305,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.141429_seed0.h5,112,0.14142857142857143,0,1024,112,1.0,111.9914795970617,0.9999239249737651,0.9999239249737651,7.60750262348564e-05,0.008337485927962083,7.607502623688984e-05,1.00293580689204,0.10937500000000022,0.0,0.0,0.0
n1024_m112_s0.141429_seed1.h5,112,0.14142857142857143,1,1024,112,1.0,111.99099033275706,0.9999195565424738,0.9999195565424738,8.044345752622473e-05,0.00858317483054028,8.044345752755945e-05,1.0031279226038952,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.161633_seed0.h5,112,0.16163265306122448,0,1024,112,1.0,111.9890577655533,0.9999023014781544,0.9999023014781544,9.769852184560168e-05,0.009491830364880913,9.769852184690403e-05,1.0043311451088155,0.10937500000000015,0.0,0.0,0.0
n1024_m112_s0.161633_seed1.h5,112,0.16163265306122448,1,1024,112,1.0,111.98881294910097,0.999900115616973,0.999900115616973,9.988438302699354e-05,0.009664540337251103,9.988438302830448e-05,1.0049562710481086,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.181837_seed0.h5,112,0.18183673469387754,0,1024,112,1.0,111.98167623650079,0.9998363949687571,0.9998363949687571,0.00016360503124290826,0.012455095013770758,0.0001636050312444406,1.0080905175417647,0.10937500000000017,0.0,0.0,0.0
n1024_m112_s0.181837_seed1.h5,112,0.18183673469387754,1,1024,112,1.0,111.98304089990415,0.99984857946343,0.99984857946343,0.00015142053657002386,0.012013674214897754,0.00015142053657152596,1.0089975229473345,0.10937500000000017,0.0,0.0,0.0
n1024_m112_s0.202041_seed0.h5,112,0.2020408163265306,0,1024,112,1.0,111.9695316563375,0.999727961217299,0.999727961217299,0.0002720387827009896,0.016102196328199505,0.00027203878270182225,1.0155944150136353,0.1093750000000001,0.0,0.0,0.0
n1024_m112_s0.202041_seed1.h5,112,0.2020408163265306,1,1024,112,1.0,111.96865526395413,0.9997201362853048,0.9997201362853048,0.00027986371469523874,0.01639443430076333,0.0002798637146961583,1.0167536549123988,0.1093750000000001,0.0,0.0,0.0
n1024_m112_s0.222245_seed0.h5,112,0.22224489795918367,0,1024,112,1.0,111.9537827868553,0.999587346311208,0.999587346311208,0.00041265368879195297,0.0196862304642793,0.00041265368879289606,1.024626591270604,0.1093750000000001,0.0,0.0,0.0
