file,m,seed,n,exp_type,mean_sparsity,min_sparsity,max_sparsity,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m256_binned_seed0.h5,256,0,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63200598162075,0.9985625233657061,0.9985625233657061,0.0014374766342939438,0.046807187025470556,0.0014374766342946375,1.5463170177026295,0.2500000000000001,0.01511299114958598,0.004997899175061883,0.0
n1024_m256_binned_seed1.h5,256,1,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63754356632126,0.9985841545559424,0.9985841545559424,0.0014158454440575952,0.0472089950565004,0.0014158454440582782,1.5691596355300392,0.25000000000000017,0.013466162083843049,0.005999355006617348,0.0
n1024_m256_binned_seed10.h5,256,10,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62903444777476,0.9985509158116201,0.9985509158116201,0.0014490841883798566,0.04709410129821103,0.0014490841883804345,1.5505992007353335,0.2500000000000001,0.01442561333831439,0.005433220386220711,0.0
n1024_m256_binned_seed100.h5,256,100,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63408447137044,0.9985706424662908,0.9985706424662908,0.001429357533709208,0.047273195439114256,0.001429357533709798,1.5684418932450266,0.25000000000000017,0.013580917351930955,0.006118622464776271,0.0
n1024_m256_binned_seed101.h5,256,101,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63169760238088,0.9985613187593003,0.9985613187593003,0.0014386812406996796,0.04758311842720431,0.0014386812407002794,1.5637364988513094,0.2500000000000001,0.013775238448938739,0.005497471207485794,0.0
n1024_m256_binned_seed102.h5,256,102,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62925537503907,0.9985517788087463,0.9985517788087463,0.0014482211912536513,0.04727244572933469,0.0014482211912541108,1.5517001388672553,0.2500000000000001,0.014511394479201564,0.005142130202125482,0.0
n1024_m256_binned_seed103.h5,256,103,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62831624656974,0.998548110338163,0.998548110338163,0.0014518896618369581,0.047363167882717556,0.0014518896618374581,1.5626362900777688,0.2500000000000001,0.014223969336386113,0.0059264310555941484,0.0
n1024_m256_binned_seed104.h5,256,104,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63180375882075,0.9985617334328936,0.9985617334328936,0.0014382665671064387,0.04709870216597125,0.0014382665671069622,1.5720550249982577,0.25000000000000017,0.01328213686160033,0.006429936965191414,1.522849286595284e-06
n1024_m256_binned_seed105.h5,256,105,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63159659116354,0.9985609241842326,0.9985609241842326,0.00143907581576741,0.047153906343333614,0.001439075815767909,1.5666116257625387,0.2500000000000001,0.013645865239585251,0.006199833429438511,0.0
n1024_m256_binned_seed106.h5,256,106,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.63098441017792,0.9985585328522575,0.9985585328522575,0.0014414671477425145,0.04763316305133059,0.0014414671477428985,1.5707352958421135,0.2500000000000001,0.013084444261347406,0.006186960524460899,0.0
n1024_m256_binned_seed107.h5,256,107,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62401432180195,0.9985313059445389,0.9985313059445389,0.0014686940554611283,0.047671807845957884,0.0014686940554618619,1.5584326949746674,0.2500000000000002,0.01459456448294429,0.005622346475467466,0.0
n1024_m256_binned_seed108.h5,256,108,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62855068739736,0.998549026122646,0.998549026122646,0.0014509738773540448,0.047912004485283655,0.0014509738773545576,1.5662716685836506,0.2500000000000001,0.013212963473148407,0.005697447913200097,0.0
n1024_m256_binned_seed109.h5,256,109,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62515624600928,0.9985357665859738,0.9985357665859738,0.0014642334140262392,0.04746366493935258,0.0014642334140267503,1.558329377069417,0.2500000000000001,0.014182321089994869,0.005916306030556057,0.0
n1024_m256_binned_seed11.h5,256,11,1024,binned,0.49931640875001904,0.10000000149011612,0.8999999761581421,256,1.0,255.62991730346403,0.9985543644666564,0.9985543644666564,0.0014456355333436477,0.04722051901828164,0.0014456355333441401,1.5502633620858735,0.2500000000000001,0.014206023705067352,0.005047222176843185,0.0
