m_hidden,sparsity,seed,checkpoint_step,n_clusters,mean_participation_ratio,mean_max_projection
112,0.666734693877551,1,25000,1,16.921097789101452,0.2784839642753239
112,0.6869387755102041,0,25000,1,17.956652457666273,0.2687935306027482
112,0.6869387755102041,1,25000,1,17.6360159747106,0.2720888979526229
112,0.7071428571428571,0,25000,1,18.388216872858855,0.26134449589774844
112,0.7071428571428571,1,25000,1,18.88149299701388,0.2610367718899739
112,0.7273469387755102,0,25000,47,38.87827526981571,0.06984952442476819
112,0.7273469387755102,1,25000,1,18.95791113005355,0.25791917034140577
112,0.7475510204081632,0,25000,45,35.153297571918856,0.08513238814804092
112,0.7475510204081632,1,25000,44,34.07355593245621,0.0891020072469455
112,0.7677551020408163,0,25000,44,35.784134375442335,0.08634020686518831
112,0.7677551020408163,1,25000,54,36.35482956943311,0.08241169815917576
112,0.7879591836734694,0,25000,51,37.61404689570826,0.07654520916091086
112,0.7879591836734694,1,25000,55,38.44241105200743,0.0721000654606122
112,0.8081632653061224,0,25000,47,38.1614099123284,0.07377183313933335
112,0.8081632653061224,1,25000,52,37.90023446514948,0.07441294019433543
112,0.8283673469387755,0,25000,49,37.6016743602451,0.07649570476038034
112,0.8283673469387755,1,25000,44,38.11572537186218,0.07285429730658126
112,0.8485714285714285,0,25000,47,37.5055170917054,0.07542399732056712
112,0.8485714285714285,1,25000,49,37.33120004311215,0.07628203862889324
112,0.8687755102040816,0,25000,49,37.20018427152177,0.07530871336949016
112,0.8687755102040816,1,25000,49,37.79878853383205,0.0726996330814858
112,0.8889795918367347,0,25000,50,37.967856612699876,0.07365990176948176
112,0.8889795918367347,1,25000,52,37.88831065405492,0.07353828204352655
112,0.9091836734693878,0,25000,50,38.41836269589235,0.07136549737344663
112,0.9091836734693878,1,25000,49,38.3570270373705,0.07241540232256012
112,0.9293877551020407,0,25000,51,38.71915043201858,0.07007613024727438
112,0.9293877551020407,1,25000,47,38.53664149855374,0.0711349259965505
112,0.9495918367346938,0,25000,51,38.82061777153908,0.07039651853410411
112,0.9495918367346938,1,25000,51,38.45036132675607,0.07132988428678844
112,0.9697959183673469,0,25000,49,38.87348000086432,0.07057920937232853
112,0.9697959183673469,1,25000,44,38.55152265366992,0.0712630526002817
112,0.99,0,25000,53,38.37516989827548,0.071638023120172
112,0.99,1,25000,48,38.77994188521208,0.07065132026004382
128,0.0,0,25000,17,37.90896124952825,0.1859928426759329
128,0.0,1,25000,9,37.30087599724669,0.19924644188936036
128,0.02020408163265306,0,25000,14,38.07901002850839,0.18679306525715877
128,0.02020408163265306,1,25000,18,37.37907155006732,0.1984233406768659
128,0.04040816326530612,0,25000,15,38.471927857803266,0.18687072414735229
128,0.04040816326530612,1,25000,14,38.21428775405256,0.19456970831885947
128,0.06061224489795918,0,25000,15,38.4011674946672,0.18276812407219512
128,0.06061224489795918,1,25000,17,37.99439275985577,0.19200124926260784
128,0.08081632653061224,0,25000,23,38.60292862025335,0.17951657819470113
128,0.08081632653061224,1,25000,20,38.24477942773752,0.18760759611452993
128,0.1010204081632653,0,25000,23,38.42814635432208,0.17724385823216895
128,0.1010204081632653,1,25000,20,38.446585396270635,0.18146342566088133
128,0.12122448979591836,0,25000,25,38.44390714877281,0.17450700100443306
128,0.12122448979591836,1,25000,20,38.493459695584704,0.17843344497252922
128,0.14142857142857143,0,25000,27,37.97850143562559,0.17315053236226208
128,0.14142857142857143,1,25000,26,37.33721782240889,0.18252837810113565
128,0.16163265306122448,0,25000,41,36.52387703678514,0.17252916569437063
128,0.16163265306122448,1,25000,37,35.19356785087754,0.17984481962250534
128,0.18183673469387754,0,25000,52,34.1697071666919,0.1704501986249774
128,0.18183673469387754,1,25000,54,34.19489326250305,0.17251826483237248
128,0.2020408163265306,0,25000,56,33.358729957068846,0.16150561985400821
128,0.2020408163265306,1,25000,56,32.2364672468253,0.16980810690599252
128,0.22224489795918367,0,25000,52,32.42999750760664,0.1584953472543115
128,0.22224489795918367,1,25000,49,31.795323466040706,0.16599255780687128
128,0.24244897959183673,0,25000,37,32.0306666689335,0.15566705310436993
128,0.24244897959183673,1,25000,38,31.439530957257716,0.16048006883593358
128,0.2626530612244898,0,25000,21,33.36757860225832,0.147020406268759
128,0.2626530612244898,1,25000,23,32.490639391218,0.15360608025520694
128,0.28285714285714286,0,25000,26,34.39680272514117,0.1410795687142312
128,0.28285714285714286,1,25000,30,35.448633431473546,0.13760439802636873
128,0.3030612244897959,0,25000,32,36.0949539968924,0.13147426325217226
128,0.3030612244897959,1,25000,33,36.280558077562866,0.1310993434437427
128,0.32326530612244897,0,25000,33,37.243757013346254,0.11991701844004676
128,0.32326530612244897,1,25000,34,36.52675406763954,0.12668474840958763
128,0.34346938775510205,0,25000,30,34.35566623311514,0.12551022506179121
128,0.34346938775510205,1,25000,32,34.55190784197593,0.12631428905025605
128,0.3636734693877551,0,25000,18,25.268682321437833,0.1493607388698761
128,0.3636734693877551,1,25000,22,25.552090699557645,0.1515290199113692
128,0.38387755102040816,0,25000,16,22.76366177081639,0.16118891823936685
128,0.38387755102040816,1,25000,13,21.906396677699785,0.16893944296012928
128,0.4040816326530612,0,25000,19,15.051139995210931,0.1850685012924877
128,0.4040816326530612,1,25000,19,15.748654867351991,0.1884997715559277
128,0.42428571428571427,0,25000,25,14.424413601445474,0.1829648041187651
128,0.42428571428571427,1,25000,24,14.420613196639954,0.18519036676282447
128,0.44448979591836735,0,25000,21,14.984651567383779,0.1836353250724741
128,0.44448979591836735,1,25000,21,15.309107048071,0.1859894987191411
128,0.4646938775510204,0,25000,17,14.927982215038458,0.1990007545861668
128,0.4646938775510204,1,25000,18,15.038650663981244,0.199153901752342
128,0.48489795918367345,0,25000,14,15.178457561028777,0.21112125457521327
128,0.48489795918367345,1,25000,15,15.506419414995209,0.20973326985576987
128,0.5051020408163265,0,25000,10,14.76111905760634,0.2484320270676259
128,0.5051020408163265,1,25000,9,15.130674650263021,0.2513996989151436
128,0.5253061224489796,0,25000,7,14.93870547330414,0.27076207788505857
128,0.5253061224489796,1,25000,3,16.086934150023005,0.2838382448753739
128,0.5455102040816326,0,25000,4,15.673563676223315,0.2855997089423086
128,0.5455102040816326,1,25000,2,16.462268951364337,0.2861621524388054
128,0.5657142857142857,0,25000,1,17.90019128249708,0.2683809772776483
128,0.5657142857142857,1,25000,1,18.406419091527408,0.26597800780956665
128,0.5859183673469388,0,25000,1,19.345620761173453,0.2564862689510113
128,0.5859183673469388,1,25000,1,18.051656484314663,0.2709789917690588
128,0.6061224489795918,0,25000,1,18.121128375589663,0.2688724849935214
128,0.6061224489795918,1,25000,1,18.67551342910969,0.2677879184655662
128,0.6263265306122449,0,25000,1,19.06179445541247,0.26232174526010243
128,0.6263265306122449,1,25000,1,18.794042066970906,0.2668590789905538
128,0.6465306122448979,0,25000,1,19.853836832986627,0.2577812669970785
128,0.6465306122448979,1,25000,1,18.97482973304203,0.2638349969739703
128,0.666734693877551,0,25000,1,19.818791572176053,0.2549927457473355
128,0.666734693877551,1,25000,1,20.781173908786524,0.2530608605959984
128,0.6869387755102041,0,25000,1,20.988776679289472,0.24618080446129362
128,0.6869387755102041,1,25000,1,20.765346597088143,0.24932863772204494
128,0.7071428571428571,0,25000,1,21.34012235795398,0.24313331988324963
128,0.7071428571428571,1,25000,2,21.755303269231003,0.2412151872305756
128,0.7273469387755102,0,25000,1,22.377475825259577,0.23214715932583305
128,0.7273469387755102,1,25000,1,23.218748076883806,0.23027232790494423
128,0.7475510204081632,0,25000,43,42.69021703306597,0.07172555344545942
128,0.7475510204081632,1,25000,41,38.47237387974823,0.0861047637500208
128,0.7677551020408163,0,25000,33,41.24342627108851,0.07532587689610684
128,0.7677551020408163,1,25000,43,40.701432015377684,0.07388957775036512
128,0.7879591836734694,0,25000,37,42.75469928927761,0.06707906983407202
128,0.7879591836734694,1,25000,37,42.349094596890644,0.06830605917903036
128,0.8081632653061224,0,25000,32,42.33036669588924,0.06994984807060284
128,0.8081632653061224,1,25000,33,42.41664963667266,0.07084151138015002
128,0.8283673469387755,0,25000,31,43.2332178043049,0.0684463924492471
128,0.8283673469387755,1,25000,39,43.224870586080854,0.06782442849511361
128,0.8485714285714285,0,25000,38,43.01772259097736,0.06742321448571793
128,0.8485714285714285,1,25000,38,42.46590976842478,0.0688787435421444
128,0.8687755102040816,0,25000,36,42.56335785491139,0.06846787526694087
128,0.8687755102040816,1,25000,38,42.47311638455829,0.0674038119765006
128,0.8889795918367347,0,25000,42,42.754019018974816,0.06648075856030472
128,0.8889795918367347,1,25000,38,43.20682211742096,0.06580131568392181
128,0.9091836734693878,0,25000,35,43.508495093036586,0.06549634753367367
128,0.9091836734693878,1,25000,41,43.5405577032924,0.06520457947598007
