cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step,slope_times_lambda,log_slope,log_inv_eigenvalue,localization_score
111,162,1.0454727830304889,2.5814196875068962e-08,0.9999913934892972,0.0,0.00024247566852026803,0.9531531929969788,1.0491492748260498,1.0491492748260498,0.9964957400402621,1.1485857343191501,0.0243889430204477,0.9321465623724916,0.009872984941202452,0.8710195119144756,0.00011310439115445382,0.00011827336857095361,112,0.0,0,25000,0.9964957213369481,0.019312731239267085,0.020837284781748903,0.9311344313959204
111,166,1.0521457908069471,1.9339500074565686e-08,0.9999561340480335,0.0,0.0005441608625843582,0.9462051391601562,1.0568532943725586,1.0568532943725586,0.9955457360158902,1.177024067054902,0.03772236913858317,0.92093281711831,0.01488344251383012,0.8504599323664785,0.0001154602422829315,0.00012150034308433533,112,0.0,1,25000,0.9955457544072601,0.022075922095343148,0.024014705503827248,0.9195051415770281
111,161,1.0448442362685906,-5.607055711875572e-09,0.9999956205828049,0.0,0.00017340519321224892,0.9549245834350586,1.0472030639648438,1.0472030639648438,0.9977474973312985,1.1112574939158262,0.018003120922246568,0.9482300909809411,0.007675626452185387,0.9001147902464622,0.0001079509555575366,0.000112786321551539,112,0.02020408163265306,0,25000,0.9977474470733058,0.019051551335915105,0.020030904227456566,0.9478139627441431
111,163,1.0642926595224131,-6.273034058946526e-08,0.999979111563328,0.0,0.0003833589736166449,0.9365382194519043,1.0677621364593506,1.0677621364593506,0.9967507024097688,1.1100250878930278,0.017298892961261494,0.9485683978439687,0.00744293584041975,0.9010971734172647,0.00012181515865325939,0.00012958425213582814,112,0.02020408163265306,1,25000,0.9967507523248527,0.02706106681147563,0.028474516429810925,0.9481648061482593
111,148,1.0697124924707597,-4.5807559559646154e-08,0.9999943297250606,0.0,0.00021081132104908742,0.9332691431045532,1.0715022087097168,1.0715022087097168,0.9983297129726758,1.0564623850021206,0.009391781239786554,0.9728851022022096,0.004324057286579429,0.9466296988367567,0.0001551857477234757,0.00016595832130406052,112,0.04040816326530612,0,25000,0.9983296612164217,0.029267067674266106,0.029993070598989324,0.9733826076955927
111,157,1.073938200754428,-1.3943665416046793e-07,0.999987909758473,0.0,0.000299939425671043,0.9292512536048889,1.0761351585388184,1.0761351585388184,0.9979584741127003,1.0833766290926938,0.013848807299213332,0.9604616214767606,0.006150903942538928,0.9231895590559909,0.0001256936576749217,0.0001348477671854198,112,0.04040816326530612,1,25000,0.9979584193452311,0.030979290820200248,0.03186682051371064,0.9604987535825529
111,141,1.075924807404707,-3.885006028399264e-08,0.9999903269426054,0.0,0.00028383013499627804,0.9277328252792358,1.0778965950012207,1.0778965950012207,0.998170708019992,1.054464879897703,0.010178620721001915,0.9737406291363152,0.004701957204400526,0.948435978035009,0.0001255916166398036,0.00013508828124031425,112,0.06061224489795918,0,25000,0.9981707613615864,0.031781921079175095,0.03257710002105894,0.9742698376476797
111,153,1.0812793822688278,-1.082778199886056e-07,0.9999871900269677,0.0,0.00031493892281510245,0.9229753613471985,1.083452582359314,1.083452582359314,0.9979941899388399,1.0689703021519954,0.013260552886879861,0.9670454272692607,0.005988888309758178,0.9356218627526035,0.0001292346639173065,0.00013963050150778145,112,0.06061224489795918,1,25000,0.9979942285668469,0.03393792198393737,0.034809909038095575,0.967326533591532
111,135,1.0811446088920142,-8.038432193084631e-08,0.999986512078591,0.0,0.0003442971350070979,0.9238694310188293,1.0824040174484253,1.0824040174484253,0.9988364709146407,1.0455621210521238,0.012234196172512379,0.9779722095809078,0.005707015696195329,0.9565531223659917,0.00012561345889405812,0.00013572593161370605,112,0.08081632653061224,0,25000,0.99883645466614,0.033883787055567514,0.0343893955190238,0.9786582265638425
111,148,1.0821205705747514,-5.726575511342093e-08,0.9999910292579895,0.0,0.000268234945235744,0.9225649237632751,1.0839345455169678,1.0839345455169678,0.9983264903312485,1.051316394210603,0.009990989853814136,0.9752427941694362,0.004631501872924421,0.9512738494600635,0.00012645005199685158,0.00013677694369107485,112,0.08081632653061224,1,25000,0.9983264816949673,0.03427565283895994,0.035003057682938654,0.9758276679826835
111,131,1.0908933969699548,-1.768030012473437e-07,0.999994467285106,0.0,0.00022592162590447622,0.9165800213813782,1.0910122394561768,1.0910122394561768,0.9998910713538088,1.020564618752736,0.007053757507480128,0.9898850534018272,0.0034143027673749983,0.9798963298535027,0.00021035695546363185,0.00022930020350031555,112,0.1010204081632653,0,25000,0.9998910931195254,0.03778231303588956,0.03782962272258843,0.9910125212459882
111,146,1.0834388767102785,-2.0659655396214425e-09,0.9999956979752483,0.0,0.00018726669924524507,0.9219281077384949,1.0846832990646362,1.0846832990646362,0.9988527320781736,1.0293774719077906,0.00702648540507876,0.9856337579567912,0.0033513185815748203,0.9715058002341594,0.0002041782663139628,0.00022121261281426996,112,0.1010204081632653,1,25000,0.9988527534558275,0.034804415188625475,0.035302953349472886,0.9866036867562245
111,128,1.0857508085462957,-1.0916893836428296e-07,0.9999890640893134,0.0,0.00031987090638363935,0.9205334782600403,1.0863265991210938,1.0863265991210938,0.999469965500924,1.0335700662592169,0.012276226207162039,0.9836591203000778,0.0057655879750292465,0.9676537304334569,0.00012001638207815923,0.00013019872130826116,112,0.12122448979591836,0,25000,0.9994699683147726,0.03573016144855529,0.03596041353288839,0.9845558755141548
111,140,1.080243407995383,3.109454151394063e-08,0.9999899375698946,0.0,0.00029169951362607995,0.9240501523017883,1.082192301750183,1.082192301750183,0.9981991243592768,1.0410797004445282,0.01174289265082216,0.9800889763962886,0.005527433217253598,0.9606626672981138,0.00011620991162853352,0.00012556610454339534,112,0.12122448979591836,1,25000,0.9981990856811366,0.033521624781957964,0.0343044402237047,0.9808534338043402
111,124,1.0919030685691011,-1.7840188826074546e-07,0.9999880017042103,4.832436883334738e-302,0.00034242586277609486,0.9158985614776611,1.091823935508728,1.091823935508728,1.0000724778581962,1.030068220902293,0.012864894739919407,0.9853346280954519,0.006093336047248617,0.9709580733746346,0.00012252177791659591,0.00013360349112190306,112,0.14142857142857143,0,25000,1.0000724497754838,0.03818408648773445,0.038152610894487654,0.9862934721247923
111,136,1.0902890928095248,-2.425860989711294e-08,0.9999885441542782,0.0,0.0003187904729436298,0.91596919298172,1.0917397737503052,1.0917397737503052,0.9986712209487458,1.0343954619730724,0.011385190953231426,0.9832579599121056,0.005385648010476475,0.9668640188473168,0.00012470643816140701,0.00013594180927611887,112,0.14142857142857143,1,25000,0.998671220457512,0.037541667450102324,0.03811913260655547,0.9841398494399181
111,123,1.0980094767062358,-2.373132640773757e-07,0.9999714144404271,9.047559041460343e-277,0.0005336947857209507,0.9106008410453796,1.0981760025024414,1.0981760025024414,0.9998483614686297,1.0373043547478316,0.015256644236086388,0.9819054795257018,0.007137781678489804,0.9642413949937909,0.00012249841195669683,0.0001342671166639775,112,0.16163265306122448,0,25000,0.9998483529644955,0.04060608844145377,0.04067194921251331,0.9827372505729612
111,133,1.0916374495589336,-8.876212881722559e-08,0.9999699509656884,4.3689902603581485e-298,0.0005228348922497874,0.9147105813026428,1.0932419300079346,1.0932419300079346,0.9985323646990111,1.0418935284551414,0.014632095040361823,0.9797322485855616,0.006838986903124475,0.959977812290189,0.0001224851237876752,0.0001336205896222964,112,0.16163265306122448,1,25000,0.9985323260577866,0.03807842609809143,0.03871628019392775,0.9804834868327114
111,116,1.1066476945674293,-4.6545247388458943e-07,0.9999346095182107,2.2744574865101529e-240,0.0008381628861596838,0.9031614661216736,1.1072217226028442,1.1072217226028442,0.9994815599949886,1.05870469171992,0.019718266133021967,0.9719566735006365,0.009001699039342264,0.9448740080707955,0.00012940499281707943,0.0001427402748959139,112,0.18183673469387754,0,25000,0.9994815543056894,0.044009383609100075,0.04423459762749857,0.9724197744760005
111,130,1.0954138454357938,-2.9766107015300565e-07,0.9999347180515146,9.868695554413038e-270,0.000782319168494749,0.9115574955940247,1.0970234870910645,1.0970234870910645,0.998532719058241,1.060807460742424,0.019146130313643952,0.9709833221103567,0.008706875699282657,0.9429806927031307,0.00012086584838977844,0.0001321004529017955,112,0.18183673469387754,1,25000,0.9985327015844722,0.03957822587372689,0.0402159258471368,0.971410353880418
