cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step
4,15,0.998218559235187,9.224294212373252e-05,0.9999737186311108,3.6672589499085597e-31,0.0014193309138687679,1.0037215948104858,0.996292233467102,0.996292233467102,1.001933494715081,37.920232574329816,6.2055944061221755,0.0735386672003865,0.022638694543580362,0.02709126410700996,0.12567975104472234,0.1255481094121933,112,0.02020408163265306,0,25000
10,11,0.9996502383277749,-0.00011596044820522122,0.9999780667932564,2.8037741742835256e-22,0.0015605678231644074,1.0032715797424316,0.9967390894889832,0.9967390894889832,1.0029206728917235,42.21445686523141,6.788422575121228,0.06547069698266093,0.021247171808980055,0.024427489653075177,0.1343538022185893,0.13419084250926971,112,0.02020408163265306,0,25000
11,11,1.001849058465051,-0.0003277340260379735,0.9999572398362788,5.655412054367111e-21,0.0021837856346361424,1.0032706260681152,0.9967400431632996,0.9967400431632996,1.005125724943825,42.45017857542944,5.962715952026221,0.057690996222820146,0.009781209567932719,0.024068393842377314,0.12550642124233405,0.1254107505083084,112,0.02020408163265306,0,25000
12,10,0.9999388981750176,-0.00013088287979035051,0.9999917701563914,1.2543705063510989e-21,0.0010142057018304163,1.0031806230545044,0.9968294501304626,0.9968294501304626,1.0031193380614387,39.9710277472047,4.867804550477611,0.07177344243110242,0.018992582222264305,0.02543867279218125,0.13207214712788923,0.13193318247795105,112,0.02020408163265306,0,25000
25,10,0.9995161592173147,-4.472419823142726e-05,0.999972813688907,1.4937018758484888e-19,0.0018425779551296561,1.0027754306793213,0.9972322583198547,0.9972322583198547,1.0022902396893056,40.968073318157266,4.111185114971426,0.07150375791568953,0.016734279942166176,0.024663216513951376,0.13037571445515364,0.1302678883075714,112,0.02020408163265306,0,25000
27,10,0.9982707349558888,7.848216781822237e-05,0.9999810382384716,3.534891517897466e-20,0.0015369042228135345,1.0027663707733154,0.9972412586212158,0.9972412586212158,1.0010323242502985,36.54847309818047,5.727992024505913,0.07441183872451824,0.01703912032585983,0.028034808214133726,0.1259882705700474,0.1258488893508911,112,0.02020408163265306,0,25000
29,10,0.9991906472946027,-3.235044327939973e-05,0.9999737963677153,1.289165314687325e-19,0.0018083804572514726,1.0027092695236206,0.9972980618476868,0.9972980618476868,1.0018977129499376,41.05383836769302,5.5867859733155765,0.06671708752803998,0.018279900121004642,0.0248282637071271,0.13010882181539454,0.12997116148471832,112,0.02020408163265306,0,25000
35,10,0.9975540745498428,0.00015242357290631836,0.9999858553667389,1.0945290645526633e-20,0.0013264484319552613,1.0026302337646484,0.9973766803741455,0.9973766803741455,1.0001778607613232,37.15879552633919,5.388966550174657,0.07237490171676633,0.014296904066727656,0.027506767490329914,0.1427760310917223,0.14257922768592834,112,0.02020408163265306,0,25000
36,11,0.9985901414244074,5.888697101325002e-05,0.9999813971496029,1.3362587583599914e-22,0.0014356871252719577,1.002603530883789,0.9974032044410706,0.9974032044410706,1.0011900272407908,37.21630883450229,3.291235698322435,0.07480668600330052,0.015750497178438887,0.027087505205875863,0.12076431884374883,0.1206529438495636,112,0.02020408163265306,0,25000
39,14,0.9979702120846132,8.652155535956996e-05,0.9999711679390538,1.295900071073406e-28,0.0015469314178392195,1.002558946609497,0.9974476099014282,0.9974476099014282,1.000523939481129,37.221293818965535,4.137876973806415,0.07114013545751995,0.014181622068608834,0.027168271599085476,0.12829416120214823,0.1281202733516693,112,0.02020408163265306,0,25000
