file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,n_eigenspaces,degeneracy_ratio,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,mean_cv,wmean_q_bin,wmean_H_bin,wmean_n_eff,wmean_max_space_proj,wmean_participation_ratio,defect_error,negD_frac,D_Dhat_corr,qual_rate
n1024_m112_s0.101020_seed0.h5,112,0.1010204081632653,0,1024,112,1.0,111.99185780498374,0.999927301830212,0.999927301830212,37,0.33035714285714285,7.269816978805466e-05,0.008171940576900467,7.269816978954056e-05,1.0021059809544337,0.10937500000000017,0.00815500713759853,0.5128357982612739,1.2201005628756736,3.4114746627439385,0.11312693434504392,18.256691042167787,1.663755938574596e-13,0.0,0.9999999999996791,0.0002682189839724965
n1024_m112_s0.101020_seed1.h5,112,0.1010204081632653,1,1024,112,1.0,111.99245684880589,0.9999326504357668,0.9999326504357668,37,0.33035714285714285,6.734956423315452e-05,0.007879524933906893,6.734956423430084e-05,1.001993582677556,0.10937500000000012,0.007864234386974095,0.5194374356515357,1.2691789493791978,3.584092598463759,0.11065210350109465,18.822690570871266,1.2832790385886028e-13,0.0,0.999999999999715,0.00028839246471359893
n1024_m112_s0.121224_seed0.h5,112,0.12122448979591836,0,1024,112,1.0,111.99255196668673,0.9999334997025601,0.9999334997025601,37,0.33035714285714285,6.650029743993091e-05,0.0077843471481657345,6.650029744142344e-05,1.0026171735823677,0.10937500000000017,0.007764391644103069,0.4670007606597,1.2015793678015572,3.3456394285882674,0.10892359354036113,19.270020100464986,1.7256682194322082e-13,0.0,0.9999999999996652,0.00014881472103054163
n1024_m112_s0.121224_seed1.h5,112,0.12122448979591836,1,1024,112,1.0,111.99264943793241,0.9999343699815394,0.9999343699815394,38,0.3392857142857143,6.563001846060512e-05,0.007754992343432437,6.563001846184889e-05,1.0024999487006305,0.10937500000000014,0.007736150083943504,0.4885315448267495,1.17777127056468,3.271021249777235,0.1065898227874616,19.763786307841535,1.408023003746095e-13,0.0,0.9999999999997023,0.00015697563391432216
n1024_m112_s0.141429_seed0.h5,112,0.14142857142857143,0,1024,112,1.0,111.9914795970617,0.9999239249737651,0.9999239249737651,38,0.3392857142857143,7.60750262348564e-05,0.008337485927962083,7.607502623688984e-05,1.00293580689204,0.10937500000000022,0.008313446650944627,0.4853200993829923,1.1710414775267952,3.2447980097844877,0.106364461531584,19.86664269790145,2.2952126310649135e-13,0.0,0.999999999999667,0.00014793387093422388
n1024_m112_s0.141429_seed1.h5,112,0.14142857142857143,1,1024,112,1.0,111.99099033275706,0.9999195565424738,0.9999195565424738,40,0.35714285714285715,8.044345752622473e-05,0.00858317483054028,8.044345752755945e-05,1.0031279226038952,0.10937500000000014,0.008557020463798453,0.6492342375062795,1.0311762775294646,2.831054935632871,0.10979872230339527,20.371885007545,1.5117074259052288e-13,0.0,0.9999999999997139,0.005694445934885093
n1024_m112_s0.161633_seed0.h5,112,0.16163265306122448,0,1024,112,1.0,111.9890577655533,0.9999023014781544,0.9999023014781544,43,0.38392857142857145,9.769852184560168e-05,0.009491830364880913,9.769852184690403e-05,1.0043311451088155,0.10937500000000015,0.009452606351648676,0.5438308181594311,1.0469103116325715,2.8674061619384332,0.11474566467396875,20.313446546123732,1.5131992880945688e-13,0.0,0.9999999999997272,0.0001474822958829593
n1024_m112_s0.161633_seed1.h5,112,0.16163265306122448,1,1024,112,1.0,111.98881294910097,0.999900115616973,0.999900115616973,45,0.4017857142857143,9.988438302699354e-05,0.009664540337251103,9.988438302830448e-05,1.0049562710481086,0.10937500000000014,0.00961945701026443,0.5522462647391491,1.1962933285551316,3.3323573975846394,0.11596307716325815,20.31944103477855,1.4497431033433372e-13,0.0,0.9999999999998065,0.00015870785546860528
n1024_m112_s0.181837_seed0.h5,112,0.18183673469387754,0,1024,112,1.0,111.98167623650079,0.9998363949687571,0.9998363949687571,53,0.4732142857142857,0.00016360503124290826,0.012455095013770758,0.0001636050312444406,1.0080905175417647,0.10937500000000017,0.01236671810790955,0.6008045773951429,1.1704247651503141,3.2691302300291865,0.12123105691569516,20.786145405224747,1.6634263411141603e-13,0.0,0.9999999999998733,0.00014790580898123488
n1024_m112_s0.181837_seed1.h5,112,0.18183673469387754,1,1024,112,1.0,111.98304089990415,0.99984857946343,0.99984857946343,54,0.48214285714285715,0.00015142053657002386,0.012013674214897754,0.00015142053657152596,1.0089975229473345,0.10937500000000017,0.01192114708818715,0.5013870258317883,1.3090740774218423,3.74924331232532,0.13730347624616768,19.88468155180822,1.6476403574827714e-13,0.0,0.9999999999998818,0.004368198412908256
